Added Pin To Net: NetName=QVCC Pin=CQ3-1
Added Pin To Net: NetName=GND Pin=R0-2
Added Pin To Net: NetName=GND Pin=R0-2
Removed Pin From Net: NetName=JVCC Pin=CJ3-1
Added Pin To Net: NetName=JVCC Pin=CJ3-1
Removed Pin From Net: NetName=JVCC Pin=CJ3-1
Added Pin To Net: NetName=NetCJ3_1 Pin=CJ3-1
Removed Pin From Net: NetName=NetCJ3_1 Pin=CJ3-2
Added Pin To Net: NetName=NetCJ3_1 Pin=CJ3-2
Removed Pin From Net: NetName=MVCC Pin=CM3-1
Added Pin To Net: NetName=MVCC Pin=CM3-1
Removed Pin From Net: NetName=MVCC Pin=CM3-1
Added Pin To Net: NetName=NetCM3_1 Pin=CM3-1
Removed Pin From Net: NetName=NetCM3_1 Pin=CM3-2
Added Pin To Net: NetName=NetCM3_1 Pin=CM3-2
Removed Pin From Net: NetName=NetCQ3_1 Pin=CQ3-2
Added Pin To Net: NetName=NetCQ3_1 Pin=CQ3-2
Removed Pin From Net: NetName=JGND Pin=R0-1
Added Pin To Net: NetName=JGND Pin=R0-1
Removed Pin From Net: NetName=JGND Pin=R0-1
Added Pin To Net: NetName=MGND Pin=R0-1
