Change Component Designator: OldDesignator=Test NewDesignator=TestSpeed
Removed Pin From Net: NetName=A6 Pin=ZONG20-1
Added Pin To Net: NetName=A0 Pin=ZONG20-1
Removed Pin From Net: NetName=A5 Pin=ZONG20-2
Added Pin To Net: NetName=A1 Pin=ZONG20-2
Removed Pin From Net: NetName=A4 Pin=ZONG20-3
Added Pin To Net: NetName=A2 Pin=ZONG20-3
Removed Pin From Net: NetName=A2 Pin=ZONG20-5
Added Pin To Net: NetName=A4 Pin=ZONG20-5
Removed Pin From Net: NetName=A1 Pin=ZONG20-6
Added Pin To Net: NetName=A5 Pin=ZONG20-6
Removed Pin From Net: NetName=A0 Pin=ZONG20-7
Added Pin To Net: NetName=A6 Pin=ZONG20-7
